B,rollout,train_group,chunk_id,total_tokens,num_microbatches,fwd_bwd_s,chunk_total_s,end_ts
64,17,1,3,54134,14,4.5280,5.8190,1789850430.4645
64,17,1,4,66179,15,5.5330,6.9790,1789850438.5214
64,17,1,5,70088,16,5.6910,7.2120,1789850446.7759
64,17,1,6,61298,14,5.4040,6.7580,1789850454.5920
64,17,1,7,81961,16,6.8570,8.6840,1789850464.4282
64,17,1,8,85151,16,7.0630,8.8120,1789850474.2808
64,17,1,9,106201,16,8.0090,10.0290,1789850485.3685
64,17,1,10,97434,15,7.8990,9.7870,1789850496.2389
64,17,1,11,78772,16,6.6790,8.5430,1789850505.8746
64,17,1,12,110821,16,9.0240,11.2920,1789850518.2558
64,17,1,13,134266,16,10.5050,12.9460,1789850532.3157
64,17,1,14,127111,15,10.6950,13.1840,1789850546.6550
64,17,1,15,153933,16,12.1640,15.1220,1789850562.9971
64,17,1,16,146298,13,13.2140,16.1380,1789850580.2226
64,17,1,17,149402,16,13.3270,16.2670,1789850597.7029
64,17,1,18,377312,32,31.3940,38.6280,1789850637.6462
64,17,1,19,436819,32,37.9580,46.5310,1789850685.6994
64,17,1,20,244302,16,20.8250,25.5610,1789850712.5999
64,18,1,1,83431,16,6.3180,7.9620,1789851090.6994
64,18,1,2,86533,16,6.7580,8.4490,1789851100.4105
64,18,1,3,108712,16,8.3150,10.3400,1789851111.9332
64,18,1,4,82848,16,6.9790,8.7370,1789851121.7319
64,18,1,5,89258,16,7.2400,9.1980,1789851132.0348
64,18,1,6,145374,16,10.9160,13.5500,1789851146.7230
64,18,1,7,128749,16,9.4680,11.7930,1789851159.6142
64,18,1,8,141112,15,10.8830,13.5770,1789851174.4094
64,18,1,9,223377,16,18.0980,22.3080,1789851198.0060
64,18,1,10,144101,16,11.5640,14.2300,1789851213.5523
64,18,1,11,329878,32,26.7350,32.9890,1789851247.8287
64,18,1,12,197897,16,16.2010,20.0100,1789851269.0533
64,18,1,13,78093,8,6.4780,7.9480,1789851278.1684
64,18,1,14,145385,8,11.8580,14.5450,1789851294.0944
64,19,1,1,100083,16,8.2850,10.1590,1789851675.1794
64,19,1,2,90072,16,6.8380,8.5940,1789851684.8672
64,19,1,3,77578,15,6.2050,7.7870,1789851693.8147
64,19,1,4,89913,16,7.3140,9.1650,1789851704.2790
64,19,1,5,110506,16,8.7520,10.8630,1789851716.4462
64,19,1,6,122478,16,9.6410,11.9140,1789851729.6007
64,19,1,7,113914,16,9.4870,12.0800,1789851742.8610
64,19,1,8,84464,15,6.9490,8.6960,1789851752.9266
64,19,1,9,166454,16,12.8210,15.9390,1789851770.2241
64,19,1,10,162540,16,13.8940,16.9990,1789851788.4092
64,19,1,11,226955,16,18.6460,22.9950,1789851812.7235
64,19,1,12,245063,16,21.2070,26.0030,1789851840.0915
64,19,1,13,123625,8,9.9840,12.2540,1789851853.8141
64,0,2,1,12000,4,5.1680,9.9890,1789840321.8336
64,0,2,2,24912,8,5.2660,6.7070,1789840329.6644
64,0,2,3,26914,8,3.0430,4.0690,1789840334.8138
64,0,2,4,36404,13,4.8140,6.2750,1789840342.1558
64,0,2,5,34991,11,4.5120,5.6380,1789840348.9287
64,0,2,6,38190,12,4.1090,5.5570,1789840356.5787
64,0,2,7,45157,15,5.1490,6.6720,1789840364.2794
64,0,2,8,40554,12,4.1930,5.4070,1789840370.7302
64,0,2,9,47500,15,5.1750,6.6910,1789840378.5158
64,0,2,10,45862,14,5.4770,7.3080,1789840387.0654
64,0,2,11,48145,14,4.7350,6.1500,1789840394.3949
64,0,2,12,55638,15,4.9090,6.2790,1789840401.7117
64,0,2,13,57070,16,6.7840,8.3600,1789840411.1275
64,0,2,14,59114,14,4.8370,6.1390,1789840418.4787
64,0,2,15,85280,16,7.0970,8.9140,1789840428.4523
64,0,2,16,68160,16,7.1690,8.8200,1789840438.4306
64,0,2,17,57641,15,5.7320,7.2860,1789840447.0158
64,0,2,18,93145,16,7.9100,9.7170,1789840457.8875
64,0,2,19,96352,16,7.4310,9.2420,1789840468.3455
64,0,2,20,100983,16,8.2600,10.4460,1789840480.7196
64,0,2,21,95989,16,7.6980,9.5970,1789840491.6001
64,0,2,22,124252,16,9.9070,12.2730,1789840505.2937
64,0,2,23,98989,16,8.1860,10.2220,1789840517.5511
64,0,2,24,154923,16,13.0720,16.6190,1789840536.2764
64,0,2,25,131143,16,10.6760,13.2090,1789840550.9162
64,0,2,26,167856,16,13.4540,16.6210,1789840568.7588
64,0,2,27,303079,32,25.4330,31.3540,1789840601.3770
64,0,2,28,157705,16,14.0630,17.2810,1789840619.8160
64,0,2,29,126636,8,11.0190,13.3610,1789840634.6956
64,0,2,30,110662,8,10.3860,12.5240,1789840648.6555
64,1,2,1,13622,4,1.5260,1.9460,1789840963.4838
64,1,2,2,26835,8,3.1400,4.0890,1789840968.8552
64,1,2,3,31490,10,3.6310,4.7740,1789840975.5990
64,1,2,4,26691,8,2.8710,3.9090,1789840980.5911
64,1,2,5,35907,11,5.0440,6.4330,1789840988.1641
64,1,2,6,39034,13,5.5010,6.8740,1789840996.1986
64,1,2,7,43230,13,4.5800,5.8990,1789841004.4261
64,1,2,8,43689,14,4.9200,6.3300,1789841012.0185
64,1,2,9,33050,9,3.7860,4.7120,1789841018.3104
64,1,2,10,60465,15,5.4240,7.1170,1789841026.5537
64,1,2,11,60440,15,6.4410,8.0410,1789841035.6892
64,1,2,12,52610,15,6.1900,7.7080,1789841044.5544
64,1,2,13,67478,15,5.3800,6.9050,1789841052.8113
64,1,2,14,88637,16,7.1060,8.8240,1789841062.7410
64,1,2,15,70736,16,6.2040,7.7700,1789841071.6871
64,1,2,16,90446,15,6.8270,8.9050,1789841081.8019
64,1,2,17,136085,16,11.0830,13.7030,1789841096.6350
64,1,2,18,112257,16,8.8150,10.9360,1789841108.9830
64,1,2,19,130383,16,9.9720,12.5200,1789841122.8202
64,1,2,20,120583,16,9.5260,11.7750,1789841136.5793
64,1,2,21,146932,16,12.7450,15.5060,1789841153.2664
64,1,2,22,132575,16,10.4120,13.1170,1789841167.6754
64,1,2,23,303782,32,25.7040,31.6980,1789841200.8651
64,1,2,24,211210,16,17.1070,21.1370,1789841223.2953
64,1,2,25,84046,8,7.4900,9.0730,1789841233.8484
64,1,2,26,143159,8,11.8070,14.4330,1789841249.8391
64,2,2,1,49840,15,5.2390,6.8180,1789841593.3080
64,2,2,2,59676,15,5.9880,7.5160,1789841605.8436
64,2,2,3,51180,12,5.0780,6.3090,1789841615.2244
64,2,2,4,67177,16,6.2770,7.9950,1789841624.3338
64,2,2,5,84136,16,6.6630,8.5800,1789841634.4680
64,2,2,6,86150,15,6.9830,8.8830,1789841644.6418
64,2,2,7,63404,15,6.1180,7.7130,1789841653.5436
64,2,2,8,92024,16,7.1040,8.8620,1789841664.1445
64,2,2,9,95889,16,7.6480,9.5530,1789841674.7829
64,2,2,10,121192,16,9.8020,12.0950,1789841688.3423
64,2,2,11,135240,16,12.3370,14.9630,1789841704.5018
64,2,2,12,111528,16,9.4920,11.7700,1789841717.3333
64,2,2,13,162041,16,13.5510,16.5190,1789841735.3759
64,2,2,14,141285,16,12.8380,15.5630,1789841752.2342
64,2,2,15,178317,16,13.9520,17.2590,1789841771.4134
64,2,2,16,189263,16,15.5860,19.1800,1789841792.5906
64,2,2,17,389822,32,32.5920,40.2100,1789841835.5070
64,2,2,18,223711,16,18.3650,22.6190,1789841860.1537
64,3,2,1,26757,8,3.5610,4.9810,1789842196.9400
64,3,2,2,40224,12,3.6840,4.9110,1789842203.1847
64,3,2,3,46922,15,4.5500,6.0430,1789842210.7875
64,3,2,4,48710,15,4.7830,6.9790,1789842219.4854
64,3,2,5,61148,16,6.3370,7.7880,1789842228.8859
64,3,2,6,60768,15,5.4660,7.0080,1789842237.1172
64,3,2,7,67006,15,6.4960,8.5110,1789842247.3291
64,3,2,8,110420,16,8.4530,10.4510,1789842259.0830
64,3,2,9,77586,16,7.0060,8.7420,1789842269.3607
64,3,2,10,130030,16,10.0760,12.6990,1789842283.6914
64,3,2,11,94653,15,8.5150,10.4430,1789842295.8796
64,3,2,12,117937,16,10.1910,12.4180,1789842309.4529
64,3,2,13,120084,16,9.5210,11.9410,1789842323.1081
64,3,2,14,144343,16,11.1360,13.9090,1789842339.0909
64,3,2,15,135110,16,11.1100,13.7570,1789842355.0414
64,3,2,16,177126,16,14.9170,18.2200,1789842375.7790
64,3,2,17,391009,32,33.2040,40.7600,1789842418.2920
64,3,2,18,237321,16,20.8140,25.3770,1789842445.0751
64,4,2,1,91235,16,7.5290,9.8370,1789842830.0990
64,4,2,2,84166,16,6.5860,8.2380,1789842840.0593
64,4,2,3,92446,16,7.4320,9.2120,1789842850.5504
64,4,2,4,105424,16,8.6550,10.7880,1789842863.4250
64,4,2,5,122673,16,9.7650,12.0590,1789842877.0052
64,4,2,6,134054,16,10.8060,13.4820,1789842892.1461
64,4,2,7,143191,16,12.1630,15.0310,1789842908.5584
64,4,2,8,195447,16,14.7220,18.3610,1789842928.5433
64,4,2,9,450593,32,39.0630,47.7000,1789842977.7386
64,4,2,10,230843,16,20.8930,25.3480,1789843004.8759
64,5,2,1,55436,15,6.0710,7.8850,1789843345.5899
64,5,2,2,62881,16,5.7750,7.4110,1789843354.2802
64,5,2,3,55816,14,5.1060,7.0120,1789843363.3750
64,5,2,4,77592,16,7.5390,9.2010,1789843373.7139
64,5,2,5,103647,16,8.1320,10.6270,1789843385.9809
64,5,2,6,87531,16,8.0580,9.8210,1789843397.2107
64,5,2,7,118722,16,8.9670,11.1500,1789843409.6722
64,5,2,8,121477,16,9.1800,11.5090,1789843423.1268
64,5,2,9,119924,16,10.6150,13.5110,1789843437.8640
64,5,2,10,153226,16,12.8110,15.7580,1789843455.3690
64,5,2,11,183591,16,15.1570,18.5900,1789843475.1730
64,5,2,12,189282,16,16.2330,19.7970,1789843496.3228
64,5,2,13,216768,16,19.7040,23.8690,1789843521.3644
64,5,2,14,200764,16,15.8520,19.6180,1789843542.7471
64,5,2,15,122701,8,11.2220,13.4680,1789843557.6862
64,6,2,1,108569,16,8.6790,10.7220,1789843941.3324
64,6,2,2,108114,16,8.3980,10.3940,1789843953.2579
64,6,2,3,138848,16,10.5600,13.3920,1789843967.8044
64,6,2,4,127545,16,10.5760,13.2730,1789843982.6943
64,6,2,5,128441,16,10.2140,12.6170,1789843997.4621
64,6,2,6,129457,16,11.5240,14.1690,1789844013.4930
64,6,2,7,134905,16,11.0750,13.6010,1789844028.5813
64,6,2,8,181783,16,14.2830,17.6690,1789844047.6065
64,6,2,9,134153,16,10.6550,13.1970,1789844062.2470
64,6,2,10,362576,32,29.6250,36.4500,1789844100.0276
64,6,2,11,205616,16,16.3550,20.2650,1789844121.5842
64,6,2,12,123368,8,11.8530,14.3060,1789844137.1544
64,6,2,13,77217,8,6.3950,7.8430,1789844146.5819
64,7,2,1,306855,32,25.1980,31.6320,1789844667.2385
64,7,2,2,372669,32,30.6310,37.6500,1789844706.6174
64,7,2,3,136706,8,11.1580,13.8770,1789844722.0603
64,7,2,4,157959,8,13.4190,16.4600,1789844740.1332
64,8,2,1,88938,16,7.1890,9.0140,1789845135.4955
64,8,2,2,91358,16,7.2100,9.0230,1789845145.6362
64,8,2,3,68987,15,6.3180,8.1650,1789845155.0300
64,8,2,4,132223,16,11.0150,13.5100,1789845169.6895
64,8,2,5,102285,15,8.4670,10.5630,1789845181.9042
64,8,2,6,137786,16,12.1340,15.1500,1789845198.4335
64,8,2,7,101265,16,8.5650,10.7290,1789845210.6965
64,8,2,8,167045,16,14.1010,17.2940,1789845229.5168
64,8,2,9,131222,16,10.5800,13.0260,1789845243.7480
64,8,2,10,418308,32,37.1750,45.3010,1789845291.1045
64,8,2,11,199939,16,17.5730,21.4080,1789845314.8750
64,9,2,1,197305,16,16.4920,20.2500,1789845804.4628
64,9,2,2,386834,32,30.2810,37.5910,1789845843.5669
64,9,2,3,204205,16,16.3850,20.2380,1789845865.7280
64,9,2,4,75046,8,6.0320,7.4230,1789845875.4026
64,9,2,5,132473,8,10.4190,13.3210,1789845890.2692
64,10,2,1,149094,16,12.5780,15.6890,1789846390.7549
64,10,2,2,104073,15,8.9950,11.0620,1789846404.0305
64,10,2,3,142443,16,11.8760,14.6390,1789846420.4456
64,10,2,4,190494,16,15.4290,19.1020,1789846440.9106
64,10,2,5,225320,16,19.7360,24.3420,1789846467.0004
64,10,2,6,165721,16,13.7780,16.9120,1789846485.4949
64,10,2,7,465757,32,38.8960,47.8930,1789846535.8069
64,10,2,8,234526,16,19.9490,24.4960,1789846562.5759
64,11,2,1,91067,16,7.0000,9.1490,1789846947.8995
64,11,2,2,90082,16,6.9290,9.0770,1789846958.3706
64,11,2,3,77743,16,6.7340,8.4810,1789846968.0663
64,11,2,4,105635,16,8.3270,10.3230,1789846979.7648
64,11,2,5,94248,16,7.6810,10.4320,1789846991.7580
64,11,2,6,151538,16,12.8740,15.6300,1789847008.5735
64,11,2,7,110174,16,8.5890,10.7590,1789847021.1497
